STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,,,,,,
FLORIDA,Okeechobee County Sheriff's Office,County,Okeechobee County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Okeechobee Police Department,County,#N/A,Task Force Model,2025-03-17 00:00:00,link,,,,,,
FLORIDA,Orange City Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Orange County Corrections Department,County,Orange County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Orange County Sheriff's Office,County,Orange County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Orlando Police Department,Municipality,#N/A,Task Force Model,2025-03-26 00:00:00,link,,,,,,
FLORIDA,Ormond Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Osceola County Corrections Department,County,Osceola County,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Osceola County Sheriff's Office,County,Osceola County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Oviedo Police Department,Municipality,#N/A,Task Force Model,2025-03-26 00:00:00,link,,,,,,
FLORIDA,Palm Beach County Sheriff's Office,County,Palm Beach County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Palm Beach County Sheriff's Office,County,Palm Beach County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Palm Beach Gardens Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Panama City Beach Police Department,Municipality,#N/A,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Panama City Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link pending,,,,,,
FLORIDA,Pasco County Board of County Commissioners,County,Pasco County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Pasco County Sheriff's Office,County,Pasco County,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Pembroke Park Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Pembroke Pines Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Pinellas County Sheriff's Office,County,Pinellas County ,Warrant Service Officer,2019-04-24 00:00:00,link,,,,,,
FLORIDA,Pinellas County Sheriff's Office,County,Pinellas County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Pinellas Park Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Polk County Sheriff's Office,County,Polk County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Polk County Sheriff's Office,County,Polk County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Ponce Inlet Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Port Orange Police Department,Municipality,#N/A,Task Force Model,2025-04-24 00:00:00,link pending,,,,,,
FLORIDA,Punta Gorda Police Department,Municipality,#N/A,Task Force Model,2025-04-24 00:00:00,link pending,,,,,,
FLORIDA,Putnam County Sheriff's Office,County,Putnam County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Putnam County Sheriff's Office,County,Putnam County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Riviera Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link pending,,,,,,
FLORIDA,Sanford Airport Police Department,Municipality,#N/A,Task Force Model,2025-05-13 00:00:00,link pending,,,,,,
FLORIDA,Sanibel Police Department,Municipality,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
FLORIDA,Santa Rosa County Sheriff's Office,County,Santa Rosa County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Santa Rosa County Sheriff's Office,County,Santa Rosa County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Sarasota County Sheriff's Office,County,Sarasota County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Sarasota County Sheriff's Office,County,Sarasota County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Sebastian Police Department,Municipality,#N/A,Task Force Model,2025-04-15 00:00:00,link pending,,,,,,
FLORIDA,Seminole County Sheriff's Office,County,Seminole County ,Warrant Service Officer,2019-09-04 00:00:00,link,,,,,,
FLORIDA,Seminole County Sheriff's Office,County,Seminole County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Sewall's Point Police Department,Municipality,#N/A,Task Force Model,2025-04-15 00:00:00,link pending,,,,,,
FLORIDA,Springfield Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,St. Augustine Beach Police Department,Municipality,#N/A,Task Force Model,2025-03-03 00:00:00,link pending,,,,,,
FLORIDA,St. Augustine Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,St. Cloud Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link,,,,,,
FLORIDA,St. Johns County Sheriff's Office,County,St. Johns County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,St. Johns County Sheriff's Office,County,St. Johns County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,St. Lucie County Sheriff's Office,County,St. Lucie County ,Warrant Service Officer,2025-02-19 00:00:00,link,,,,,,
FLORIDA,St. Lucie County Sheriff's Office,County,St. Lucie County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,St. Petersburg Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link pending,,,,,,
FLORIDA,Stuart Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Sumter County Sheriff's Office,County,Sumter County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Sumter County Sheriff's Office,County,Sumter County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Sunny Isles Police Department,Municipality,#N/A,Task Force Model,2025-03-10 00:00:00,link,,,,,,
FLORIDA,Suwannee County Sheriff's Office,County,Suwannee County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Suwannee County Sheriff's Office,County,Suwannee County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Sweetwater Police Department,Municipality,#N/A,Task Force Model,2025-03-26 00:00:00,link,,,,,,
FLORIDA,Tallahassee Police Department,Municipality,#N/A,Task Force Model,2025-03-10 00:00:00,link,,,,,,
FLORIDA,Tallahassee State College Police Department,State Agency,#N/A,Task Force Model,2025-04-15 00:00:00,link,,,,,,
FLORIDA,Tampa Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link pending,,,,,,
FLORIDA,Tarpon Springs Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link pending,,,,,,
FLORIDA,Tavares Police Department,Municipality,#N/A,Task Force Model,2025-03-17 00:00:00,link,,,,,,
FLORIDA,Taylor County Sheriff's Office,County,Taylor County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Taylor County Sheriff's Office,County,Taylor County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Tequesta Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Town of Palm Beach Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Treasure Island Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Union County Sheriff's Office,County,Union County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Union County Sheriff's Office,County,Union County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,University of Central Florida Board of Trustees,State Agency,#N/A,Task Force Model,2025-04-15 00:00:00,link pending,,,,,,
FLORIDA,University of Florida Police Department,Municipality,#N/A,Task Force Model,2025-04-15 00:00:00,https://www.ice.gov/doclib/287gMOA/UnivFLPDFL_TFM_MOA_041525.pdf,,,,,,
FLORIDA,University of West Florida Board of Trustees,State Agency,#N/A,Task Force Model,2025-04-15 00:00:00,link pending,,,,,,
FLORIDA,Venice Police Department,Municipality,#N/A,Task Force Model,2025-03-17 00:00:00,link,,,,,,
FLORIDA,Vero Beach Police Department,Municipality,#N/A,Task Force Model,2025-03-26 00:00:00,link,,,,,,
FLORIDA,Volusia County Division of Corrections,County,Volusia County,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Volusia County Sheriff's Office,County,Volusia County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Wakulla County Sheriff's Office,County,Wakulla County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Wakulla County Sheriff's Office,County,Wakulla County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Walton County Sheriff's Office,County,Walton County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Walton County Sheriff's Office,County,Walton County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Washington County Sheriff's Office,County,Washington County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Washington County Sheriff's Office,County,Washington County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,West Miami Police Department,Municipality,#N/A,Task Force Model,2025-03-26 00:00:00,link,,,,,,
FLORIDA,Winter Garden Police Department,Municipality,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
GEORGIA,Bibb County Sheriff's Office,County,Bibb County ,Warrant Service Officer,2025-02-27 00:00:00,link,,,,,,
GEORGIA,Burke County Sheriff's Office,County,Burke County,Warrant Service Officer,2025-03-27 00:00:00,link pending,,,,,,
GEORGIA,Columbia County Sheriff's Office,County,Columbia County ,Jail Enforcement Model,2025-02-26 00:00:00,link,,,,,,
GEORGIA,Dade County Sheriff's Office,County,Dade County,Warrant Service Officer,2025-03-27 00:00:00,link pending,,,,,,
GEORGIA,Decatur County Sheriff's Office,County,Decatur,Warrant Service Officer,2025-03-26 00:00:00,link,,,,,,
GEORGIA,Floyd County Sheriff's Office,County,Floyd County ,Jail Enforcement Model,2020-06-10 00:00:00,link,,,,,,
GEORGIA,Georgia Department of Corrections,State Agency,#N/A,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
GEORGIA,Georgia Department of Public Safety,State Agency,#N/A,Task Force Model,2025-03-10 00:00:00,link,,,,,,
GEORGIA,Hall County Sheriff's Office,County,Hall County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
GEORGIA,Lumpkin County Sheriff's Office,County,Lumpkin County,Warrant Service Officer,2025-03-27 00:00:00,link pending,,,,,,
GEORGIA,Monroe County Sheriff's Office,County,Monroe County ,Jail Enforcement Model,2025-02-24 00:00:00,link,,,,,,
GEORGIA,Morgan County Sheriff's Office,County,Morgan County ,Warrant Service Officer,2025-02-28 00:00:00,link pending,,,,,,
GEORGIA,Oconee County Sheriff's Office,County,Oconee County ,Warrant Service Officer,2019-12-31 00:00:00,link,,,,,,
GEORGIA,Pierce County Sheriff's Office,County,Pierce County ,Warrant Service Officer,2025-02-27 00:00:00,link,,,,,,
GEORGIA,Polk County Sheriff's Office,County,Polk County ,Jail Enforcement Model,2020-07-02 00:00:00,link,,,,,,
GEORGIA,Tift County Sheriff's Office,County,Tift County,Jail Enforcement Model,2025-05-07 00:00:00,link pending,,,,,,
GEORGIA,Tift County Sheriff's Office,County,Tift County,Warrant Service Officer,2025-05-07 00:00:00,link pending,,,,,,
GEORGIA,Walker County Sheriff's Office,County,Walker County ,Jail Enforcement Model,2025-02-24 00:00:00,link,,,,,,
GEORGIA,Whitfield County Sheriff's Office,County,Whitfield County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
IDAHO,Gooding County Sheriff's Office,County,Gooding County ,Warrant Service Officer,2020-08-17 00:00:00,link,,,,,,
IDAHO,Owyhee County Sheriff's Office,County,Owyhee County ,Warrant Service Officer,2025-02-19 00:00:00,link,,,,,,
IDAHO,Owyhee County Sheriff's Office,County,Owyhee County ,Task Force Model,2025-02-19 00:00:00,link,,,,,,
IDAHO,Power County Sheriff’s Office,County,Power County,Warrant Service Officer,2020-11-20 00:00:00,link,,,,,,
INDIANA,Green Forks Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
INDIANA,Hamilton County Sheriff's Office,County,Hamilton County ,Jail Enforcement Model,2025-03-03 00:00:00,link,,,,,,
INDIANA,Jasper County Sheriff's Office,County,Jasper County,Warrant Service Officer,2025-03-17 00:00:00,link,,,,,,
INDIANA,Noble County Sheriff's Office,County,Noble County,Warrant Service Officer,2025-03-26 00:00:00,link,,,,,,
IOWA,Iowa Department of Public Safety,State Agency,N/A,Task Force Model,2025-03-26 00:00:00,link,,,,,,
KANSAS,Cowley County Sheriff's Office,County,Cowley County ,Warrant Service Officer,2025-03-05 00:00:00,link,,,,,,
KANSAS,Finney County Sheriff’s Office,County,Finney County,Warrant Service Officer,2020-03-17 00:00:00,link,,,,,,
KANSAS,Jackson County Sheriff’s Office,County,Jackson County,Warrant Service Officer,2020-07-23 00:00:00,link,,,,,,
KANSAS,Kansas Bureau of Investigation,State Agency,#N/A,Task Force Model,2025-02-18 00:00:00,link,,,,,,
KANSAS,Reno County Sheriff's office,County,Reno County ,Warrant Service Officer,2025-03-05 00:00:00,link,,,,,,
KANSAS,Rice County Sheriff's Office,County,Rice County,Warrant Service Officer,2025-03-26 00:00:00,link,,,,,,
KENTUCKY,Bracken County Sheriff's Office,County,Bracken County,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
KENTUCKY,Bullitt County Detention Center,County,Bullitt County ,Jail Enforcement Model,2025-03-21 00:00:00,link pending,,,,,,
KENTUCKY,Daviess County Sheriff's Office,County,Daviess County ,Task Force Model,2025-03-10 00:00:00,link,,,,,,
KENTUCKY,Daviess County Sheriff's Office,County,Daviess County ,Warrant Service Officer,2025-03-10 00:00:00,link,,,,,,
KENTUCKY,Grayson County Detention Center,County,Grayson County,Warrant Service Officer,2025-03-05 00:00:00,link,,,,,,
KENTUCKY,Grayson County Detention Center,County,Grayson County,Jail Enforcement Model,2025-03-05 00:00:00,link,,,,,,
KENTUCKY,Grayson County Sheriff’s Office,County,Grayson County,Task Force Model,2025-03-05 00:00:00,link,,,,,,
KENTUCKY,Heritage Creek Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link,,,,,,
KENTUCKY,Kenton County Sheriff's Office,County,Kenton County,Jail Enforcement Model,2025-05-06 00:00:00,link pending ,,,,,,
KENTUCKY,Kenton County Sheriff's Office,County,Kenton County,Warrant Service Officer,2025-05-06 00:00:00,link pending ,,,,,,
KENTUCKY,Lyon County Sheriff's Office,County,Lyon County,Task Force Model,2025-05-08 00:00:00,link pending ,,,,,,
KENTUCKY,Marshall County Sheriff's Office,County,Marshall County,Task Force Model,2025-05-08 00:00:00,link pending ,,,,,,
KENTUCKY,Oldham County Detention Center,County,Oldham County,Jail Enforcement Model,2025-03-10 00:00:00,link,,,,,,
KENTUCKY,Oldham County Detention Center,County,Oldham County,Warrant Service Officer,2025-03-10 00:00:00,link,,,,,,
LOUISIANA,Bossier Parish Sheriff's Office,County,Bossier Parish ,Jail Enforcement Model,2025-02-28 00:00:00,link,,,,,,
LOUISIANA,Kenner Police Department,Municipality,#N/A,Jail Enforcement Model,2025-03-17 00:00:00,link,,,,,,
MAINE,Wells Police Department,Municipality,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
MARYLAND,Carroll County Sheriff’s Office,County,Carroll County,Warrant Service Officer,2025-03-03 00:00:00,link,,,,,,
MARYLAND,Cecil County Sheriff's Office,County,Cecil County ,Jail Enforcement Model,2020-03-09 00:00:00,link,,,,,,
MARYLAND,Frederick County Sheriff's Office,County,Frederick County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
MARYLAND,Garrett County Sheriff's Office,County,Garrett County ,Warrant Service Officer,2025-02-28 00:00:00,link,,,,,,
MARYLAND,Harford County Sheriff's Office,County,Harford County ,Jail Enforcement Model,2020-06-26 00:00:00,link,,,,,,
MARYLAND,St. Mary's County Sheriff's Office,County,St. Mary's County,Warrant Service Officer,2025-03-26 00:00:00,link,,,,,,
MARYLAND,Washington County Sheriff's Office,County,Washington County ,Warrant Service Officer,2025-03-10 00:00:00,link,,,,,,
MASSACHUSETTS,Massachusetts Department of Corrections,State Agency,#N/A,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
MICHIGAN,Berrian County Sheriff's Offic,County,Berrian County,Warrant Service Officer,2025-05-06 00:00:00,link pending,,,,,,
MICHIGAN,Calhoun County Sheriff's Office,County,Calhoun County,Warrant Service Officer,2025-05-07 00:00:00,link pending,,,,,,
MICHIGAN,Jackson County Sheriff's Office,County,Jackson County,Warrant Service Officer,2025-03-19 00:00:00,link,,,,,,
MICHIGAN,Taylor Police Department,Municipality,#N/A,Task Force Model,2025-04-28 00:00:00,link pending,,,,,,
MINNESOTA,Cass County Sheriff's Office,County,Cass County ,Task Force Model,2025-02-28 00:00:00,link,,,,,,
MINNESOTA,Crow Wing County Sheriff's Office,County,Crow Wing County,Task Force Model,2025-03-25 00:00:00,link,,,,,,
MINNESOTA,Crow Wing County Sheriff's Office ,County,Crow Wing County,Warrant Service Officer,2025-03-27 00:00:00,link pending,,,,,,
MINNESOTA,Freeborn County Sheriff's Office,County,Freeborn County,Warrant Service Officer,2025-03-27 00:00:00,link,,,,,,
MINNESOTA,Itasca County Sheriff's Office,County,Itasca County ,Task Force Model,2025-02-27 00:00:00,link,,,,,,
MINNESOTA,Jackson County Sheriff's Office,County,Jackson County ,Warrant Service Officer,2025-03-07 00:00:00,link,,,,,,
MINNESOTA,Jackson County Sheriff's Office,County,Jackson County ,Jail Enforcement Model,2025-03-07 00:00:00,link,,,,,,
MISSISSIPPI,Mississippi Attorney General's Office,State Agency,#N/A,Task Force Model,2025-03-17 00:00:00,link,,,,,,
MISSOURI,Christian County Sheriff's Office,County,Christian County,Warrant Service Officer,2025-03-26 00:00:00,link,,,,,,
MISSOURI,Christian County Sheriff's Office,County,Christian County,Jail Enforcement Model,2025-03-21 00:00:00,link pending,,,,,,
MISSOURI,Missouri Highway Patrol,State Agency,#N/A,Task Force Model,2025-03-21 00:00:00,link,,,,,,
MISSOURI,Saint Mary Police Department,Municipality,#N/A,Task Force Model,2025-04-28 00:00:00,link pending,,,,,,
MONTANA,Flathead County Sheriff's Department,County,Flathead County,Warrant Service Officer,2020-02-12 00:00:00,link,,,,,,
MONTANA,Gallatin County Sheriff's Office,County,Gallatin County ,Warrant Service Officer,2020-01-22 00:00:00,link,,,,,,
MONTANA,Montana Department of Justice,State Agency,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
NEBRASKA,Dakota County Sheriff's Office,County,Dakota County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
NEBRASKA,Wheeler County Sheriff's Office,County,Wheeler County,Task Force Model,2025-05-08 00:00:00,link pending ,,,,,,
NEVADA,Douglas County Sheriff's Office,County,Douglas County ,Warrant Service Officer,2025-02-19 00:00:00,link,,,,,,
NEVADA,Mineral County Sheriff's Office,County,Mineral County ,Warrant Service Officer,2025-03-10 00:00:00,link,,,,,,
NEW HAMPSHIRE,Belknap County Sheriff's Office,County,Belknap County ,Task Force Model,2025-03-03 00:00:00,link,,,,,,
NEW HAMPSHIRE,Candia Police Department,Municipality,#N/A,Task Force Model,2025-04-23 00:00:00,link,,,,,,
NEW HAMPSHIRE,Colebrook Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
NEW HAMPSHIRE,Gorham Police Department,Municipality,#N/A,Task Force Model,2025-02-26 00:00:00,link,,,,,,
NEW HAMPSHIRE,Grafton County Sheriff's Office,County,Grafton County ,Task Force Model,2025-03-07 00:00:00,link,,,,,,
NEW HAMPSHIRE,New Hampshire State Police,State Agency,#N/A,Task Force Model,2025-04-25 00:00:00,link,,,,,,
NEW HAMPSHIRE,Ossipee Police Department,Municipality,#N/A,Task Force Model,2025-03-03 00:00:00,link,,,,,,
NEW HAMPSHIRE,Pittsburgh Police Department,Municipality,#N/A,Task Force Model,2025-03-03 00:00:00,link,,,,,,
NEW HAMPSHIRE,Rockingham County Sheriff's Office ,County,Rockingham County ,Task Force Model,2025-04-24 00:00:00,link,,,,,,
NEW HAMPSHIRE,Troy Police Department,Municipality,#N/A,Task Force Model,2025-03-17 00:00:00,link,,,,,,
NEW MEXICO,Curry County Sheriff's Office,County,Curry County,Warrant Service Officer,2025-05-13 00:00:00,link pending,,,,,,
NEW YORK,Broome County Sheriff's Office,County,Broome County ,Warrant Service Officer,2025-03-10 00:00:00,link,,,,,,
NEW YORK,Nassau County Police Department,County,Nassau County ,Task Force Model,2025-03-10 00:00:00,link,,,,,,
NEW YORK,Nassau County Sheriff's Office,County,Nassau County ,Warrant Service Officer,2025-02-28 00:00:00,link,,,,,,
NEW YORK,Niagara County Sheriff's Office,County,Niagara County,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
NEW YORK,Niagara County Sheriff's Office,County,Niagara County,Warrant Service Officer,2025-05-07 00:00:00,link pending,,,,,,
NEW YORK,Rensselaer County Sheriff's Office,County,Rensselaer County ,Jail Enforcement Model,2020-06-10 00:00:00,link,,,,,,
NORTH CAROLINA,Alamance County Sheriff's Office,County,Alamance County ,Warrant Service Officer,2020-05-21 00:00:00,link,,,,,,
NORTH CAROLINA,Albemarle District Jail,County,Albemarle County,Warrant Service Officer,2020-03-19 00:00:00,link,,,,,,
NORTH CAROLINA,Avery County Sheriff's Office,County,Avery County ,Warrant Service Officer,2020-07-23 00:00:00,link,,,,,,
NORTH CAROLINA,Brunswick County Sheriff's Office,County,Brunswick County ,Warrant Service Officer,2020-07-23 00:00:00,link,,,,,,
NORTH CAROLINA,Cabarrus County Sheriff's Office,County,Cabarrus County ,Jail Enforcement Model,2020-03-11 00:00:00,link,,,,,,
NORTH CAROLINA,Caldwell County Sheriff's Office,County,Caldwell County ,Warrant Service Officer,2020-03-19 00:00:00,link,,,,,,
NORTH CAROLINA,Cherokee County Sheriff's Office,County,Cherokee County ,Warrant Service Officer,2025-03-10 00:00:00,link,,,,,,
NORTH CAROLINA,Cleveland County Sheriff's Office,County,Cleveland County ,Warrant Service Officer,2020-01-16 00:00:00,link,,,,,,
NORTH CAROLINA,Columbus County Sheriff's Office,County,Columbus County ,Warrant Service Officer,2025-03-05 00:00:00,link,,,,,,
