STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE
ALABAMA,Houston County Sheriff's Office,County,Houston County,Jail Enforcement Model
ALABAMA,Level Plains Police Department,Municipality,#N/A,Task Force Model
ALABAMA,Limestone County Sheriff's Office,County,Limestone County,Warrant Service Officer
ARIZONA,Yuma County Sheriff's Office,County,Yuma County,Warrant Service Officer
FLORIDA,Apopka Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Atlantis Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Auburndale Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Belle Isle Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Cape Coral Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Casselberry Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Cocoa Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Eatonville Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Edgewater Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Fellsmere Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Florida Department of Agriculture,State Agency,#N/A,Task Force Model
FLORIDA,Florida Department of Environmental Protection,State Agency,#N/A,Task Force Model
FLORIDA,Florida Division of Alcoholic Beverages and Tobacco,State Agency,#N/A,Task Force Model
FLORIDA,Florida Gaming Control Commission,State Agency,#N/A,Task Force Model
FLORIDA,Florida International University Police Department,State Agency,#N/A,Task Force Model
FLORIDA,Florida Polytechnic University Police Department,State Agency,#N/A,Task Force Model
FLORIDA,Ft. Myers Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Gulf Breeze Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Hialeah Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Hollywood Police Department ,Municipality,#N/A,Task Force Model
FLORIDA,Kissimmee Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Lake Mary Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Lakeland Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Longboat Key Police Department,Municipality,#N/A,Task Force Model
FLORIDA,North Port Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Ocala Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Palm Springs Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Pensacola Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Rockledge Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Sanford Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Sarasota Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Satellite Beach Police Department,Municipality,#N/A,Task Force Model
FLORIDA,South Daytona Police Department,Municipality,#N/A,Task Force Model
FLORIDA,University of North Florida Police Department,State Agency,#N/A,Task Force Model
FLORIDA,West Melbourne Police Department,Municipality,#N/A,Task Force Model
FLORIDA,West Palm Beach Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Windermere Police Department,Municipality,#N/A,Task Force Model
FLORIDA,Winter Springs Police Department,Municipality,#N/A,Task Force Model
GEORGIA,Catoosa County Sheriff's Office,County,Catoosa County,Jail Enforcement Model
GEORGIA,Catoosa County Sheriff's Office,County,Catoosa County,Warrant Service Officer
GEORGIA,Coweta County Sheriff's Office,County,Coweta County,Warrant Service Officer
GEORGIA,Dawson County Sheriff's Office,County,Dawson County,Warrant Service Officer
GEORGIA,Euharlee Police Department,Municipality,#N/A,Task Force Model
GEORGIA,Forsyth County Sheriff's Office,County,Forsyth County,Warrant Service Officer
GEORGIA,Glynn County Sheriff's Office,County,Glynn County,Warrant Service Officer
GEORGIA,Harris County Sheriff's Office,County,Harris County,Warrant Service Officer
GEORGIA,Jasper County Sheriff's Office,County,Jasper County,Warrant Service Officer
GEORGIA,Jasper County Sheriff's Office,County,Jasper County,Jail Enforcement Model
GEORGIA,Madison County Sheriff's Office,County,Madison County,Warrant Service Officer
GEORGIA,Monroe Police Department,Municipality,#N/A,Task Force Model
GEORGIA,Montgomery County Sheriff's Office,County,Montgomery County,Jail Enforcement Model
GEORGIA,Murray County Sheriff's Office,County,Murray County,Jail Enforcement Model
GEORGIA,Spalding County Sheriff's Office,County,Spalding County,Jail Enforcement Model
KANSAS,Anderson County Sheriff's Office,County,Anderson County,Warrant Service Officer
KANSAS,Haskell County Sheriff's Office,County,Haskell County,Warrant Service Officer
KENTUCKY,Union County Sheriff's Office,County,Union County,Task Force Model
LOUISIANA,Beauregard Parish Sheriff's Office,County,Beauregard Parish,Task Force Model
MARYLAND,Allegany County Sheriff's Office,County,Allegancy,Warrant Service Officer
MICHIGAN,Roscommon County Sheriff's Office,County,Roscommon County,Task Force Model
MINNESOTA,Mille Lacs County Sheriff's Office,County,Mille Lacs County,Task Force Model
MISSOURI,Christian County Sheriff's Office,County,Christian County,Task Force Model
MONTANA,Cascade County Sheriff's Office,County,Cascade County,Warrant Service Officer
NEVADA,Lyon County Sheriff's Office,County,Lyon County,Warrant Service Officer
NEVADA,Lyon County Sheriff's Office,County,Lyon County,Jail Enforcement Model
NORTH CAROLINA,Carteret County Sheriff's Office,County,Carteret County,Warrant Service Officer
OKLAHOMA,Lincoln County Sheriff's Office,County,Lincoln County,Warrant Service Officer
OKLAHOMA,Oklahoma Department of Corrections,State Agency,#N/A,Jail Enforcement Model
OKLAHOMA,Oklahoma Department of Corrections,State Agency,#N/A,Warrant Service Officer
PENNSYLVANIA,Lower Burrell Fourth Ward Constable's Office,Municipality,#N/A,Task Force Model
SOUTH CAROLINA,Pickens County Sheriff's Office,County,Pickens County,Warrant Service Officer
TENNESSEE,Tennessee Department of Corrections,State Agency,#N/A,Jail Enforcement Model
SOUTH CAROLINA,Pickens County Sheriff's Office,County,Pickens County,Task Force Model
TEXAS,Colorado County Sheriff's Office,County,Colorado County,Jail Enforcement Model
TEXAS,Denton County Sheriff's Office,County,Denton County,Jail Enforcement Model
TEXAS,Hood County Sheriff's Office,County,Hood County,Warrant Service Officer
TEXAS,Milam County Sheriff's Office,County,Milam County,Warrant Service Officer
TEXAS,Rains County Sheriff's Office,County,Rains County,Warrant Service Officer
TEXAS,San Jacinto County Sheriff's Office,County,San Jacinto County,Warrant Service Officer
TENNESSEE,Bradley County Sheriff's Office,County,Bradley County,Jail Enforcement Model
TENNESSEE,Macon County Sheriff's Office,County,Macon County,Warrant Service Officer
WISCONSIN,Walworth County Sheriff's Office,County,Walworth County,Warrant Service Officer
WISCONSIN,Waukesha County Sheriff's Office,County,Waukesha County,Warrant Service Officer
WYOMING,Carbon County Sheriff's Office,County,Carbon County,Warrant Service Officer
WYOMING,Laramie County Sheriffâ€™s Office,County,Laramie County,Warrant Service Officer
VIRGINIA,Alleghany County Sheriff's Office,County,Alleghany County,Warrant Service Officer
VIRGINIA,Buckingham County Sheriff's Office,County,Buckingham County,Task Force Model
VIRGINIA,Craig County Sheriff's Office,County,Craig County,Task Force Model
WYOMING,Sweetwater County Sheriff's Office,County,Sweetwater County,Task Force Model
